obdobi	kod	cena
05/2001	7621	111
08/2002	7628	7
04/2003	7628	27
12/2005	7621	115
07/2006	7622	1
09/2006	7622	2
10/2006	7622	12
11/2006	7622	10
01/2007	7622	29
02/2007	7622	54
03/2007	7622	204
04/2007	7622	55
05/2007	7621	45
05/2007	7622	7
06/2007	7622	47
07/2007	7622	265
08/2007	7622	147
09/2007	7622	25
01/2008	7622	1
03/2008	7622	92
04/2008	7622	58
03/2009	7622	9
04/2009	7622	10
05/2009	7622	3
07/2009	7622	247
08/2009	7621	134
09/2009	7621	8
09/2009	7628	4
10/2009	7621	267
11/2009	7621	9
12/2009	7621	11
02/2010	7621	0
02/2010	7622	40
03/2010	7621	24
04/2010	7621	23
04/2010	7622	5
05/2010	7622	11
06/2010	7621	8
06/2010	7622	3
07/2010	7622	340
09/2010	7628	246
10/2010	7622	2
11/2010	7621	5
03/2011	7621	30
04/2011	7621	7
05/2011	7622	4
06/2011	7621	85
09/2011	7621	4
09/2011	7622	315
11/2011	7621	20
12/2011	7621	36
12/2011	7628	21
02/2012	7621	2
07/2012	7628	0
10/2012	7621	59
01/2013	7621	81
02/2013	7622	1
03/2013	7621	8
05/2013	7621	2
06/2013	7621	19
07/2013	7621	265
08/2013	7621	25
01/2014	7628	12
03/2014	7621	48
