obdobi	kod	cena
01/1999	5816	6
02/1999	5816	15
03/1999	5816	9
04/1999	5816	228
05/1999	5816	25
06/1999	5816	16
07/1999	5816	126
08/1999	5816	139
09/1999	5816	82
10/1999	5816	10
11/1999	5816	8
12/1999	5816	566
01/2000	5816	1
02/2000	5816	1
03/2000	5816	5
04/2000	5816	7
05/2000	5816	2
06/2000	5816	56
07/2000	5816	1
08/2000	5816	20
10/2000	5816	316
01/2001	5816	3
02/2001	5816	133
03/2001	5816	2
08/2001	5816	3
09/2001	5816	547
10/2001	5816	31
11/2001	5816	3
01/2002	5816	113
02/2002	5816	168
03/2002	5816	876
04/2002	5816	326
05/2002	5816	835
06/2002	5816	144
07/2002	5816	158
08/2002	5816	674
09/2002	5816	128
10/2002	5816	300
11/2002	5816	191
12/2002	5816	272
01/2003	5816	255
02/2003	5816	696
03/2003	5816	311
04/2003	5816	463
05/2003	5816	557
06/2003	5816	417
07/2003	5816	320
08/2003	5816	500
09/2003	5816	177
10/2003	5816	912
11/2003	5816	104
12/2003	5816	323
01/2004	5816	336
02/2004	5816	556
03/2004	5816	568
04/2004	5816	593
05/2004	5816	517
06/2004	5816	1213
07/2004	5816	1359
08/2004	5816	1010
09/2004	5816	632
10/2004	5816	543
11/2004	5816	217
12/2004	5816	521
01/2005	5816	363
02/2005	5816	669
03/2005	5816	917
04/2005	5816	320
05/2005	5816	725
06/2005	5816	650
07/2005	5816	224
08/2005	5816	469
09/2005	5816	90
10/2005	5816	113
11/2005	5816	626
12/2005	5816	501
01/2006	5816	837
02/2006	5816	381
03/2006	5816	404
04/2006	5816	860
05/2006	5816	230
06/2006	5816	308
07/2006	5816	258
08/2006	5816	714
09/2006	5816	124
10/2006	5816	703
11/2006	5816	1446
12/2006	5816	257
01/2007	5816	426
02/2007	5816	1033
03/2007	5816	772
04/2007	5816	26
05/2007	5816	659
06/2007	5816	895
07/2007	5816	689
08/2007	5816	821
09/2007	5816	69
10/2007	5816	528
11/2007	5816	710
12/2007	5816	825
01/2008	5816	658
02/2008	5816	989
03/2008	5816	1298
04/2008	5816	357
05/2008	5816	955
06/2008	5816	645
07/2008	5816	89
08/2008	5816	668
09/2008	5816	663
10/2008	5816	1299
11/2008	5816	374
12/2008	5816	98
01/2009	5816	631
02/2009	5816	483
03/2009	5816	731
04/2009	5816	156
05/2009	5816	628
06/2009	5816	228
07/2009	5816	759
08/2009	5816	561
09/2009	5816	212
10/2009	5816	368
11/2009	5816	170
12/2009	5816	254
01/2010	5816	259
02/2010	5816	522
03/2010	5816	449
04/2010	5816	544
05/2010	5816	398
06/2010	5816	811
07/2010	5816	653
08/2010	5816	550
09/2010	5816	513
10/2010	5816	689
11/2010	5816	352
12/2010	5816	379
01/2011	5816	768
02/2011	5816	532
03/2011	5816	272
04/2011	5816	419
05/2011	5816	1453
06/2011	5816	1019
07/2011	5816	449
08/2011	5816	965
09/2011	5816	1296
10/2011	5816	1459
11/2011	5816	665
12/2011	5816	839
01/2012	5816	1100
02/2012	5816	2622
03/2012	5816	566
04/2012	5816	1335
05/2012	5816	895
06/2012	5816	2253
07/2012	5816	3023
08/2012	5816	774
09/2012	5816	1074
10/2012	5816	1212
11/2012	5816	1606
12/2012	5816	927
01/2013	5816	1382
02/2013	5816	844
03/2013	5816	2565
04/2013	5816	1486
05/2013	5816	2002
06/2013	5816	1800
07/2013	5816	1629
08/2013	5816	2015
09/2013	5816	2406
10/2013	5816	1816
11/2013	5816	1423
12/2013	5816	1230
01/2014	5816	2825
02/2014	5816	1836
03/2014	5816	3109
04/2014	5816	5364
05/2014	5816	4253
06/2014	5816	4353
07/2014	5816	4462
08/2014	5816	3304
